"id","name","image","level","type","attribute","family","prior_forms","next_forms","lateral_next_forms","digifuse_forms","attacks"
11,"Aequcedramon","https://static.wikia.nocookie.net/digimon/images/4/4c/Aequcedramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20201226060303",NULL,NULL,NULL,"[]","[]","[]","[]","[]","[]"
12,"AeroVeedramon","https://static.wikia.nocookie.net/digimon/images/8/80/AeroVeedramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20111125042005","Ultimate",NULL,"{Vaccine,Data}","[""Nature Spirits"", ""Wind Guardians"", ""Virus Busters"", ""Dragon's Roar""]","[""Veedramon""]","[""UlforceVeedramon""]","[]","[]","[{""name"": ""Magnum Crush"", ""description"": ""): Punches the foe with a fist of glowing energy.""}, {""name"": ""Kaze no Shugo Kabe"", ""description"": "", lit. \""Guardian Wall of Wind\"")""}]"
13,"Agumon","https://static.wikia.nocookie.net/digimon/images/6/68/Agumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170210150934","Rookie",NULL,"{Vaccine,Virus}","[""Nature Spirits"", ""Virus Busters"", ""Metal Empire"", ""Unknown"", ""Dragon's Roar""]","[""Koromon""]","[""Greymon"", ""Centarumon"", ""Meramon"", ""Numemon"", ""Tyrannomon"", ""Tuskmon"", ""Agumon (Bond of Bravery)"", ""Cyberdramon""]","[""BlackAgumon"", ""SnowAgumon""]","[""Shoutmon X7F Superior Mode""]","[{""name"": ""Baby Flame"", ""description"": ""): Spits flames at its foes.""}, {""name"": ""Surudoi Tsume"", ""description"": "", lit. \""Sharp Claw\"")""}, {""name"": ""Spitfire"", ""description"": ""): Shoots a small blast of fire from its mouth.""}, {""name"": ""Cross Fight"", ""description"": ""): Gathers power and then either bites foe or slashes them with claws.""}, {""name"": ""Triple Baby Flame"", ""description"": ""): Performs \""Pepper Breath\"" alongside two other Agumon, fusing the three flames into a gigantic fireball.""}, {""name"": ""Uppercut"", ""description"": "") : Uppercuts the enemy with its claws.""}, {""name"": ""Mach Jab"", ""description"": ""): Rapidly jabs or slashes the opponent with the claws of both hands.""}]"
14,"Agumon_(2006_anime)","https://static.wikia.nocookie.net/digimon/images/f/fc/Agumon_%282006_anime%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20120623151238","Rookie",NULL,"Vaccine","[""Dragon's Roar"", ""Nature Spirits"", ""Virus Busters""]","[""Koromon""]","[""GeoGreymon"", ""Greymon"", ""Agumon (Burst Mode)""]","[]","[]","[{""name"": ""Baby Flame"", ""description"": ""): Spews flaming breath from its mouth to strike the opponent.""}, {""name"": ""Baby Burner"", ""description"": ""): Accumulates \""Pepper Breath\"" in its mouth and then spits it out all at once as a much more powerful blast.""}, {""name"": ""Surudoi Tsume"", ""description"": "")""}, {""name"": ""Motto Surudoi Tsume"", ""description"": "")""}]"
15,"Agumon_(Black)_(2006_anime)","https://static.wikia.nocookie.net/digimon/images/9/90/Agumon_%28Black%29_dwds.png/revision/latest/scale-to-width-down/268?cb=20140727224855","Rookie",NULL,"Virus","""Dragon's Roar""","[]","[]","[]","[]","[{""name"": ""Tai Atari"", ""description"": "", lit. \""Body Blow\"")""}, {""name"": ""Baby Flame"", ""description"": ""): Breathes fire.""}]"
16,"Agumon_(Bond_of_Bravery)","https://static.wikia.nocookie.net/digimon/images/f/fd/Agumon_%28Bond_of_Bravery%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20200228043043","Mega",NULL,"{Unidentified,Free,Vaccine}","[""Virus Busters"", ""Nature Spirits""]","[""Agumon""]","[]","[]","[]","[{""name"": ""Str-lash Salamander"", ""description"": ""): High-intensity red lasers emitted from the tips of the claws that burn the enemy.""}, {""name"": ""GaiaBrave"", ""description"": ""): Changes the flames of courage it bears into an ultra-high temperature energy shot and then releases it.""}]"
17,"Agumon_(Burst_Mode)","https://static.wikia.nocookie.net/digimon/images/8/84/5-48_Agumon_%28Burst_Mode%29.png/revision/latest/scale-to-width-down/268?cb=20141210223446","Burst Mode",NULL,NULL,"[]","[""Agumon (2006 anime)""]","[]","[]","[]","[]"
18,"Agumon_Expert","https://static.wikia.nocookie.net/digimon/images/2/20/Agumon_Expert_b.jpg/revision/latest/scale-to-width-down/268?cb=20170331023731","Rookie",NULL,"Vaccine","""Dragon's Roar""","[""Koromon""]","[]","[]","[]","[{""name"": ""Hakase Bou"", ""description"": "", lit. \""Professor's Hat\"")""}, {""name"": ""Hakase Bō"", ""description"": "")""}, {""name"": ""Surudoi Tsume"", ""description"": """"}]"
19,"Agumon_X","https://static.wikia.nocookie.net/digimon/images/9/98/Agumon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20180926074532","Rookie",NULL,"Vaccine","[""Metal Empire"", ""Nature Spirits""]","[]","[""Greymon X"", ""Omekamon""]","[]","[]","[{""name"": ""Baby Flame): Spits flame breath from its mouth to attack the opponent."", ""description"": """"}]"
20,"Agunimon","https://static.wikia.nocookie.net/digimon/images/f/f1/Agunimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20171127121610","Hybrid",NULL,"{Variable,Vaccine,Unidentified,Free}","[""None"", ""Nightmare Soldiers"", ""Nature Spirits"", ""Dragon's Roar""]","[""H Spirit of Flame"", ""Flamemon""]","[""BurningGreymon"", ""Aldamon"", ""BurningGreymon""]","[]","[]","[{""name"": ""Burning Salamander"", ""description"": ""): Unleashes a blazing dragon from the Burning Wrists.""}, {""name"": ""Salamander Break"", ""description"": ""): Unleashes a whirlwind kick of flames.""}, {""name"": ""Fire Darts"", ""description"": ""): Throws small bits of fire at his target from his gauntlet.""}, {""name"": ""Crimson Knuckle"", ""description"": ""): Performs a punch.""}]"
21,"Aircraft_Carrier_Whamon","https://static.wikia.nocookie.net/digimon/images/6/63/XW-21_03-04_01.jpg/revision/latest/scale-to-width-down/268?cb=20120327042549",NULL,NULL,NULL,"[]","[]","[]","[]","[]","[]"
22,"Airdramon","https://static.wikia.nocookie.net/digimon/images/9/96/Airdramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20080929150117","Champion",NULL,"{Vaccine,Data,Virus}","[""Wind Guardians"", ""Nature Spirits"", ""Dragon's Roar""]","[""Botamon"", ""Monodramon""]","[""MetalGreymon (Virus)"", ""Megadramon""]","[]","[""DigiFuse Chart""]","[{""name"": ""God Tornado"", ""description"": ""): Flaps its wings to create a tornado.""}]"
23,"Ajatarmon","https://static.wikia.nocookie.net/digimon/images/2/25/Ajatarmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210721033203","Ultimate",NULL,"Vaccine","[]","[]","[]","[]","[]","[{""name"": ""Tied-up Ivy"", ""description"": ""): Restrains the enemy with the tentacles growing from the back of its head.""}]"
24,"Akatorimon","https://static.wikia.nocookie.net/digimon/images/a/aa/Akatorimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20150804033051","Champion",NULL,"Data","""Wind Guardians""","[]","[""Sinduramon"", ""Kokatorimon""]","[]","[]","[{""name"": ""Scar-Red Eye"", ""description"": ""): Glares with its red eyes to petrify and shatter the opponent.""}, {""name"": ""Turbo Rooster"", ""description"": "")""}, {""name"": ""Akatori Attack"", ""description"": "")""}]"
25,"Aldamon","https://static.wikia.nocookie.net/digimon/images/c/cf/Aldamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120803020611","Hybrid",NULL,"{Variable,Free}","[""None"", ""Nightmare Soldiers"", ""Virus Busters"", ""Dragon's Roar""]","[""Spirits of Flame"", ""Agunimon"", ""BurningGreymon""]","[""EmperorGreymon"", ""Spirits of Wind"", ""Ice"", ""Wood"", ""Earth""]","[]","[]","[{""name"": ""Brahmashira"", ""description"": ""): Enhances the holy flames of its \"" DigiCore \"" to their utmost limit, then personally manufactures the high temperature and high density core of the sun, before detonating it.""}, {""name"": ""Brahmastra"", ""description"": ""): High-speed rapid-fires the extremely high-temperature shots it unleashes from the Rudriya Darpaṇa.""}]"
26,"Allomon","https://static.wikia.nocookie.net/digimon/images/9/9b/Allomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120817030325","Armor",NULL,"{Data,Free,None}","[""Nature Spirits"", ""Wind Guardians"", ""Dragon's Roar""]","[""Hawkmon"", ""Digi-Egg of Courage""]","[]","[]","[]","[]"
27,"Allomon_X","https://static.wikia.nocookie.net/digimon/images/b/bf/Allomon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20190809175009","Champion",NULL,"{Data,Free}","""Nature Spirits""","[]","[]","[]","[]","[]"
28,"Alphamon","https://static.wikia.nocookie.net/digimon/images/9/93/Alphamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20110708200717","Mega",NULL,"Vaccine","[""Virus Busters"", ""Dragon's Roar""]","[""Grademon"", ""DoruGreymon""]","[""Alphamon Ouryuken"", ""Ouryumon""]","[""Alphamon Ouryuken""]","[]","[{""name"": ""Seiken Gradalpha"", ""description"": "")""}, {""name"": ""Digital Monster X-Evolution"", ""description"": "", Digimon Adventure tri. , Digimon Story: Cyber Sleuth , Digimon Story: Cyber Sleuth - Hacker's Memory , Digimon Links , and Digimon ReArise , it summons a small magic circle before itself, with which it summons energy shots. In Digimon New Century , after it uses the energy shots to defeat an enemy, it summons a legendary monster from another dimension to take its place who then joins Alphamon as an ally in battle.""}, {""name"": ""Kyūkyokusenjin Ouryūken"", ""description"": """"}, {""name"": ""Ouryūken"", ""description"": "", lit. \"" Ouryu -Sword\"")""}]"
29,"Alphamon_Ouryuken","https://static.wikia.nocookie.net/digimon/images/5/53/Alphamon_Ouryuken_b.jpg/revision/latest/scale-to-width-down/268?cb=20120316040617","Mega",NULL,"Vaccine","""Virus Busters""","[""Alphamon"", ""Ouryumon""]","[]","[]","[]","[{""name"": ""Kyūkyokusenjin Ouryūken"", ""description"": "", lit. \""Ultimate-Battle-Blade- Ouryu -Sword\"")""}, {""name"": ""Digital Monster X-Evolution"", ""description"": "", it summons a small magic circle before itself, with which it summons energy shots.""}, {""name"": ""Seiken Gradalpha"", ""description"": "")""}]"
30,"Amaterasumon","https://static.wikia.nocookie.net/digimon/images/7/79/Amaterasumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20250707153137","Mega",NULL,NULL,"[]","[]","[]","[]","[]","[]"
31,"Amon","https://static.wikia.nocookie.net/digimon/images/c/c9/Goddramon_St-516_%28DM%29.jpg/revision/latest/scale-to-width-down/267?cb=20110728025353","None",NULL,"None","[]","[]","[]","[]","[]","[]"
32,"Amphimon","https://static.wikia.nocookie.net/digimon/images/9/9c/Amphimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20230122003011","Mega",NULL,"Data","""Deep Savers""","[""Thetismon""]","[]","[]","[]","[{""name"": ""Crystal Freezer"", ""description"": ""): Fires off frigid energy from its fist to freeze its target.""}, {""name"": ""Aqua Zanba"", ""description"": ""): Swings its hand horizontally to send off a cutter made of highly-pressurized water.""}, {""name"": ""Raiburn Break"", ""description"": "", lit. \""Thunderburn Break\"")""}, {""name"": ""Umbre Defender"", ""description"": ""): Sets up an electromagnetic shield created by jellyfish units to protect itself and its allies.""}]"
33,"AncientBeetlemon","https://static.wikia.nocookie.net/digimon/images/7/71/AncientBeetlemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090904135808","Mega",NULL,"Vaccine","[""Unknown"", ""Nature Spirits"", ""Jungle Troopers""]","[""MegaKabuterimon (Blue)""]","[]","[]","[]","[]"
34,"AncientGarurumon","https://static.wikia.nocookie.net/digimon/images/5/56/AncientGarurumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140703022958","Mega",NULL,"Data","[""Unknown"", ""Nightmare Soldiers"", ""Nature Spirits"", ""Virus Busters""]","[""WereGarurumon""]","[]","[]","[]","[{""name"": ""Sharpness Claymore"", ""description"": ""): Brandishes its two greatswords with a dazzling radiance and cuts the opponent to pieces.""}]"
35,"AncientGreymon","https://static.wikia.nocookie.net/digimon/images/4/43/AncientGreymon_b.jpg/revision/latest/scale-to-width-down/268?cb=20150703023857","Mega",NULL,"Vaccine","[""Unknown"", ""Nature Spirits"", ""Virus Busters"", ""Dragon's Roar""]","[""MetalGreymon (Vaccine)""]","[]","[]","[]","[]"
36,"AncientKazemon","https://static.wikia.nocookie.net/digimon/images/0/0c/AncientKazemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090105222531","Mega",NULL,"Vaccine","[""Wind Guardians"", ""Unknown""]","[]","[]","[]","[]","[]"
37,"AncientMegatheriummon","https://static.wikia.nocookie.net/digimon/images/1/15/AncientMegatheriummon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090828033738","Mega",NULL,"Data","[""Deep Savers"", ""Unknown"", ""Nature Spirits""]","[]","[]","[]","[]","[]"
38,"AncientMermaidmon","https://static.wikia.nocookie.net/digimon/images/2/2d/AncientMermaidmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090721230256","Mega",NULL,"{Data,Vaccine}","[""Unknown"", ""Deep Savers""]","[]","[]","[]","[]","[]"
39,"AncientSphinxmon","https://static.wikia.nocookie.net/digimon/images/b/b3/AncientSphinxmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120127030806","Mega",NULL,"Virus","[""Unknown"", ""Nightmare Soldiers""]","[""Cerberusmon""]","[]","[]","[]","[]"
40,"AncientTroiamon","https://static.wikia.nocookie.net/digimon/images/1/18/AncientTroiamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090819163913","Mega",NULL,"Data","[""Unknown"", ""Nature Spirits"", ""Wind Guardians""]","[]","[]","[]","[]","[]"
41,"AncientVolcanomon","https://static.wikia.nocookie.net/digimon/images/1/12/AncientVolcanomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090106081702","Mega",NULL,"Virus","[""Unknown"", ""Metal Empire"", ""Nature Spirits""]","[""Meteormon""]","[""FusedAncientVolcanomon"", ""Meramon""]","[]","[]","[{""name"": ""Atomic Bomber"", ""description"": ""): Detonates the volcano on its back, which propels it into a super-strong lariat .""}, {""name"": ""Supernova"", ""description"": ""): Generates antimatter within its body, which causes a super-detonation comparable to a tiny Big Bang .""}, {""name"": ""Big Bang Fire"", ""description"": ""): Fires a stream of magma from its back.""}]"
42,"AncientWisemon","https://static.wikia.nocookie.net/digimon/images/8/87/AncientWisemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090804073334","Mega",NULL,"Virus","[""Unknown"", ""Nightmare Soldiers"", ""Metal Empire""]","[]","[]","[]","[]","[{""name"": ""Laplace no Ma"", ""description"": "")""}]"
43,"Andromon","https://static.wikia.nocookie.net/digimon/images/6/67/Andromon_b.jpg/revision/latest/scale-to-width-down/268?cb=20091227052121","Ultimate",NULL,"{Vaccine,Data}","[""Metal Empire"", ""Virus Busters""]","[""Guardromon""]","[""HiAndromon""]","[]","[""DigiFuse Chart""]","[{""name"": ""Spiral Sword"", ""description"": ""): Fires a blade of energy from its arm module.""}, {""name"": ""Gatling Missile"", ""description"": ""): Fires two smart homing missiles from its chest, chasing enemies, which also contain machine guns.""}, {""name"": ""Gatling Missile Rensha Mode"", ""description"": """"}]"
44,"Angemon","https://static.wikia.nocookie.net/digimon/images/0/08/Angemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130402190032","Champion",NULL,"Vaccine","[""Wind Guardians"", ""Virus Busters""]","[""Patamon""]","[""MagnaAngemon"", ""Ankylomon"", ""Shakkoumon"", ""Ankylomon"", ""Armadillomon"", ""Angewomon"", ""NeoDevimon""]","[""Devimon""]","[]","[{""name"": ""Heaven's Knuckle"", ""description"": ""): Strikes the opponent with its fist shining gold. It may also fire a beam of energy from its fist.""}, {""name"": ""Holy Rod"", ""description"": ""): Attacks with its \""Angel Rod\"".""}, {""name"": ""God Typhoon"", ""description"": ""): Creates a divine tornado.""}, {""name"": ""Halo Attack"", ""description"": ""): Spins through the air swinging its Holy Rod.""}]"
45,"Angewomon","https://static.wikia.nocookie.net/digimon/images/3/39/Angewomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130402190037","Ultimate",NULL,"{Vaccine,Free}","[""Nature Spirits"", ""Virus Busters"", ""Wind Guardians"", ""Dragon's Roar""]","[""Gatomon"", ""Aquilamon"", ""Nefertimon"", ""Angemon""]","[""Magnadramon"", ""Ophanimon"", ""Mastemon"", ""LadyDevimon"", ""Ophanimon Falldown Mode"", ""LovelyAngemon""]","[""LadyDevimon""]","[]","[{""name"": ""Holy Arrow"", ""description"": ""): Shoots a holy arrow made of thunder whose powerful lightning-strike is also known as \""Heaven's Punishment\"".""}, {""name"": ""Digimon World Data Squad"", ""description"": "", it whispers like an angel and lures the enemy to sleep.""}, {""name"": ""Saint Air"", ""description"": ""): Wraps its allies in holy light, recovering them from abnormal conditions and restoring some of their stamina. In Digimon World Data Squad , it creates a holy tornado.""}, {""name"": ""Holy Kick"", ""description"": ""): Kicks the enemy whilst doing a cartwheel.""}, {""name"": ""Holy Attack"", ""description"": ""): Jumps into the air and then dives diagonally downwards foot-first.""}, {""name"": ""Holy Dash"", ""description"": ""): A sliding kick along the ground.""}, {""name"": ""Angel Wing"", ""description"": ""): Flaps its wings to gain altitude then dive-bombs the enemy and attacks with a cartwheel.""}, {""name"": ""Holy Charge Kick"", ""description"": ""): Charges up, flips, and then flies forward foot-first.""}, {""name"": ""Holy Charm"", ""description"": ""): Destroys the enemy by radiating six rings of pink light in a cross-like pattern.""}]"
46,"Angewomon_X","https://static.wikia.nocookie.net/digimon/images/f/f4/Angewomon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20191029025907","Ultimate",NULL,"Vaccine","[]","[""Gatomon X""]","[]","[]","[]","[{""name"": ""Holy Arrow"", ""description"": ""): Shoots a holy arrow made of thunder whose powerful lightning-strike is also known as \""Heaven's Punishment\"".""}, {""name"": ""Grand Holy Arrow"", ""description"": ""): Transfers power from surrounding elements and releases it as an arrow of lightning.""}]"
47,"Angoramon","https://static.wikia.nocookie.net/digimon/images/3/33/Angoramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210921170200","Rookie",NULL,"Vaccine","""Nature Spirits""","[]","[""SymbareAngoramon""]","[]","[]","[{""name"": ""Petit Tornado"", ""description"": ""): A small tornado generated by the propeller rotation of both its ears.""}, {""name"": ""Pyon Dump"", ""description"": "", lit. \""Hop Dump\"")""}]"
48,"Ankylomon","https://static.wikia.nocookie.net/digimon/images/6/6b/Ankylomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090205054741","Champion",NULL,"{Free,Vaccine,None}","[""Nature Spirits"", ""Metal Empire"", ""Dragon's Roar"", ""Deep Savers""]","[""Armadillomon""]","[""Shakkoumon"", ""Angemon"", ""MagnaAngemon"", ""Angemon"", ""Brachiomon""]","[]","[]","[{""name"": ""Armor Stampede"", ""description"": "")""}, {""name"": ""Rhythmical Knock"", ""description"": "")""}]"
49,"Antylamon_(Evil)","https://static.wikia.nocookie.net/digimon/images/b/b7/Antylamon_%28Evil%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20201026182601","Ultimate",NULL,"{Virus,Data}","[""Nightmare Soldiers"", ""Wind Guardians"", ""Virus Busters""]","[""Wendigomon""]","[""Cherubimon (Evil)""]","[]","[]","[{""name"": ""Mantra Chant"", ""description"": ""): Hardens its body tissue to the level of Chrome Digizoid by liberating all of the energy within its body, then unleashes a mighty blow.""}, {""name"": ""Bǎo Fǔ"", ""description"": ""): Summons and attacks with the Treasure Axes.""}]"
50,"Antylamon_(Good)","https://static.wikia.nocookie.net/digimon/images/9/9b/Antylamon_%28Good%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20091120164034","Ultimate",NULL,"{Data,Virus}","[""Wind Guardians"", ""Virus Busters"", ""Nightmare Soldiers""]","[""DarkTyrannomon"", ""Turuiemon""]","[""Cherubimon (Good)""]","[]","[]","[{""name"": ""Asipatravana"", ""description"": ""): Spins on its own axis like a tornado, cutting anything surrounding it with the Bunny Blades.""}, {""name"": ""Bǎo Fǔ"", ""description"": "", lit. \""Treasure Axe\""): Summons and attacks with the Bunny Blades.""}, {""name"": ""Mantra Chant"", ""description"": ""): Hardens its body tissue to the level of Chrome Digizoid by liberating all of the energy within its body, then unleashes a mighty blow.""}, {""name"": ""Deiteo Heupsu"", ""description"": "", lit. \""Data Absorption\"")""}]"
51,"Anubismon","https://static.wikia.nocookie.net/digimon/images/9/9a/Anubismon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120106061210","Mega",NULL,"Vaccine","[""Unknown"", ""Virus Busters"", ""Nightmare Soldiers""]","[""Cerberusmon"", ""Puttimon""]","[]","[]","[]","[{""name"": ""Ammit"", ""description"": ""): Summons a demonic beast from the Dark Area which devours the DigiCores of evil Digimon.""}]"
52,"Apemon","https://static.wikia.nocookie.net/digimon/images/e/ec/Apemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20160506083907","Champion",NULL,"Vaccine","[""Nightmare Soldiers"", ""Virus Busters"", ""Nature Spirits""]","[""Gazimon"", ""Shamanmon""]","[""MadLeomon (Final Mode)"", ""MadLeomon"", ""Mammothmon""]","[]","[]","[{""name"": ""Nyoi Bone"", ""description"": "", lit. \"" Rúyì Bone\"")""}, {""name"": ""Dohatsuten"", ""description"": "", lit. \""Furious\"")""}, {""name"": ""Maen Moubakuken"", ""description"": "", lit. \""Demonic Monkey Intense-bombarding Fist\"")""}]"
53,"Apocalymon","https://static.wikia.nocookie.net/digimon/images/b/b3/Apocalymon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140413173638","Mega",NULL,"{Unidentified,Free}","[""Dark Area"", ""Nightmare Soldiers""]","[""DemiDevimon"", ""Vilemon"", ""LadyDevimon"", ""SkullSatamon"", ""Myotismon"", ""Puppetmon""]","[""Mephistomon""]","[]","[]","[{""name"": ""Ankoku"", ""description"": "", lit. \""Darkness\"")""}, {""name"": ""Death Evolution"", ""description"": ""): Captures the opponent in its claws and forces them to degenerate.""}, {""name"": ""Gran Death Big Bang"", ""description"": ""): Detonates its own body with enough force to wipe out an entire dimension.""}, {""name"": ""Shokushu Kougeki"", ""description"": """"}, {""name"": ""Ultimate Stream"", ""description"": ""): Transforms a claw into MetalSeadramon 's head, which fires its River of Power. This technique symbolizes Apocalymon's \""Friendship\"".""}]"
54,"Apokarimon_(Creepy_Mode)","https://static.wikia.nocookie.net/digimon/images/9/95/Apocalymon_%28New_Century%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20200701072828","Mega",NULL,"Unidentified","""Dark Area""","[]","[]","[]","[]","[]"
55,"Apollomon","https://static.wikia.nocookie.net/digimon/images/d/dc/Apollomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140708003455","Mega",NULL,"Vaccine","[""Dragon's Roar"", ""Virus Busters"", ""Nature Spirits""]","[""Flaremon""]","[""GraceNovamon"", ""Dianamon""]","[]","[""DigiFuse Chart"", ""Shoutmon X7F Superior Mode""]","[{""name"": ""Solblaster"", ""description"": ""): Fires a scorching solar orb generated from the sphere of flames on its back.""}, {""name"": ""PhoebusBlow"", ""description"": ""): Attacks with a one-hit knockout fist filled with its hidden power.""}, {""name"": ""Arrow of Apollo"", ""description"": ""): Continuously fires red hot arrows from the shining jewels on its hands.""}]"
56,"Apollomon_Darkness_Mode","https://static.wikia.nocookie.net/digimon/images/1/1e/Apollomon_Darkness_Mode_t.gif/revision/latest/scale-to-width-down/268?cb=20220701014528",NULL,NULL,NULL,"[]","[""Apollomon Whispered"", ""Axemon""]","[]","[]","[]","[]"
57,"Apollomon_Whispered","https://static.wikia.nocookie.net/digimon/images/b/ba/Apollomon_Whispered_t.gif/revision/latest/scale-to-width-down/268?cb=20220522102323",NULL,NULL,NULL,"[]","[]","[]","[]","[""DigiFuse Chart""]","[{""name"": ""Arrow of Whispered"", ""description"": ""): Continuously fires dark arrows from the shining jewels on its hands.""}, {""name"": ""Nageki no Taiyou"", ""description"": "", lit. \""Sun of Lamentation\"")""}]"
58,"Aquilamon","https://static.wikia.nocookie.net/digimon/images/e/e1/Aquilamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090205054741","Champion",NULL,"{Free,Data,None}","""Wind Guardians""","[""Hawkmon"", ""Biyomon""]","[""Silphymon"", ""Gatomon"", ""Angewomon"", ""Gatomon"", ""Garudamon""]","[]","[]","[{""name"": ""Glide Horn"", ""description"": ""): Charges the opponent from the sky.""}, {""name"": ""Blast Laser"", ""description"": ""): Fires off ring-shaped beams with a roar similar to thunder.""}, {""name"": ""Stealth Quarrel"", ""description"": "")""}]"
59,"Arbormon","https://static.wikia.nocookie.net/digimon/images/2/29/Arbormon_b.jpg/revision/latest/scale-to-width-down/268?cb=20121109024301","Hybrid",NULL,"{Variable,Free}","[""None"", ""Nature Spirits""]","[""H Spirit of Wood""]","[]","[]","[]","[{""name"": ""Machine Gun Dance"", ""description"": ""): Punches and kicks opponents from long distances with arms and legs connected by long cables.""}]"
