id,name,image,level,attribute,family,prior_forms,next_forms,lateral_next_forms,digifuse_forms,attacks
12,AeroVeedramon,https://static.wikia.nocookie.net/digimon/images/8/80/AeroVeedramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20111125042005,Ultimate,Vaccine,Nature Spirits,Veedramon,UlforceVeedramon,,,Magnum Crush | Kaze no Shugo Kabe
13,Agumon,https://static.wikia.nocookie.net/digimon/images/6/68/Agumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170210150934,Rookie,Vaccine,Nature Spirits,Koromon,Greymon | Centarumon | Meramon | Numemon | Tyrannomon | Tuskmon | Agumon (Bond of Bravery) | Cyberdramon,BlackAgumon | SnowAgumon,Shoutmon X7F Superior Mode,Baby Flame | Surudoi Tsume | Spitfire | Cross Fight | Triple Baby Flame | Uppercut | Mach Jab
18,Agumon Expert,https://static.wikia.nocookie.net/digimon/images/2/20/Agumon_Expert_b.jpg/revision/latest/scale-to-width-down/268?cb=20170331023731,Rookie,Vaccine,Dragon's Roar,Koromon,,,,Hakase Bou | Hakase Bō | Surudoi Tsume
19,Agumon X,https://static.wikia.nocookie.net/digimon/images/9/98/Agumon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20180926074532,Rookie,Vaccine,Metal Empire,,Greymon X | Omekamon,,,Baby Flame): Spits flame breath from its mouth to attack the opponent.
20,Agunimon,https://static.wikia.nocookie.net/digimon/images/f/f1/Agunimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20171127121610,Hybrid,Vaccine / Variable,None,H Spirit of Flame,BurningGreymon | Aldamon | BurningGreymon,,,Burning Salamander | Salamander Break | Fire Darts | Crimson Knuckle
21,Aircraft Carrier Whamon,https://static.wikia.nocookie.net/digimon/images/6/63/XW-21_03-04_01.jpg/revision/latest/scale-to-width-down/268?cb=20120327042549,Unknown,Unknown,Unknown,,,,,Unknown
22,Airdramon,https://static.wikia.nocookie.net/digimon/images/9/96/Airdramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20080929150117,Champion,Vaccine,Wind Guardians,Botamon,MetalGreymon (Virus) | Megadramon,,,God Tornado
23,Ajatarmon,https://static.wikia.nocookie.net/digimon/images/2/25/Ajatarmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210721033203,Ultimate,Vaccine,Unknown,,,,,Tied-up Ivy
24,Akatorimon,https://static.wikia.nocookie.net/digimon/images/a/aa/Akatorimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20150804033051,Champion,Data,Wind Guardians,,Sinduramon | Kokatorimon,,,Scar-Red Eye | Turbo Rooster | Akatori Attack
25,Aldamon,https://static.wikia.nocookie.net/digimon/images/c/cf/Aldamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120803020611,Hybrid,Variable,None,Spirits of Flame,EmperorGreymon | Spirits of Wind | Ice | Wood | Earth,,,Brahmashira | Brahmastra
26,Allomon,https://static.wikia.nocookie.net/digimon/images/9/9b/Allomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120817030325,Armor,Data / Free,Nature Spirits,Hawkmon,,,,Unknown
27,Allomon X,https://static.wikia.nocookie.net/digimon/images/b/bf/Allomon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20190809175009,Champion,Data / Free,Nature Spirits,,,,,Unknown
28,Alphamon,https://static.wikia.nocookie.net/digimon/images/9/93/Alphamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20110708200717,Mega,Vaccine,Virus Busters,Grademon,Alphamon Ouryuken | Ouryumon,Alphamon Ouryuken,,Seiken Gradalpha | Digital Monster X-Evolution | Kyūkyokusenjin Ouryūken | Ouryūken
29,Alphamon Ouryuken,https://static.wikia.nocookie.net/digimon/images/5/53/Alphamon_Ouryuken_b.jpg/revision/latest/scale-to-width-down/268?cb=20120316040617,Mega,Vaccine,Virus Busters,Alphamon,,,,Kyūkyokusenjin Ouryūken | Digital Monster X-Evolution | Seiken Gradalpha
30,Amaterasumon,https://static.wikia.nocookie.net/digimon/images/7/79/Amaterasumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20250707153137,Mega,Unknown,Unknown,,,,,Unknown
31,Amon,https://static.wikia.nocookie.net/digimon/images/c/c9/Goddramon_St-516_%28DM%29.jpg/revision/latest/scale-to-width-down/267?cb=20110728025353,Unknown,Unknown,Unknown,,,,,Unknown
32,Amphimon,https://static.wikia.nocookie.net/digimon/images/9/9c/Amphimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20230122003011,Mega,Data,Deep Savers,Thetismon,,,,Crystal Freezer | Aqua Zanba | Raiburn Break | Umbre Defender
33,AncientBeetlemon,https://static.wikia.nocookie.net/digimon/images/7/71/AncientBeetlemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090904135808,Mega,Vaccine,Unknown,MegaKabuterimon (Blue),,,,Unknown
34,AncientGarurumon,https://static.wikia.nocookie.net/digimon/images/5/56/AncientGarurumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140703022958,Mega,Data,Unknown,WereGarurumon,,,,Sharpness Claymore
35,AncientGreymon,https://static.wikia.nocookie.net/digimon/images/4/43/AncientGreymon_b.jpg/revision/latest/scale-to-width-down/268?cb=20150703023857,Mega,Vaccine,Unknown,MetalGreymon (Vaccine),,,,Unknown
36,AncientKazemon,https://static.wikia.nocookie.net/digimon/images/0/0c/AncientKazemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090105222531,Mega,Vaccine,Wind Guardians,,,,,Unknown
37,AncientMegatheriummon,https://static.wikia.nocookie.net/digimon/images/1/15/AncientMegatheriummon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090828033738,Mega,Data,Deep Savers,,,,,Unknown
38,AncientMermaidmon,https://static.wikia.nocookie.net/digimon/images/2/2d/AncientMermaidmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090721230256,Mega,Data,Unknown,,,,,Unknown
39,AncientSphinxmon,https://static.wikia.nocookie.net/digimon/images/b/b3/AncientSphinxmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120127030806,Mega,Virus,Unknown,Cerberusmon,,,,Unknown
40,AncientTroiamon,https://static.wikia.nocookie.net/digimon/images/1/18/AncientTroiamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090819163913,Mega,Data,Unknown,,,,,Unknown
41,AncientVolcanomon,https://static.wikia.nocookie.net/digimon/images/1/12/AncientVolcanomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090106081702,Mega,Virus,Unknown,Meteormon,FusedAncientVolcanomon | Meramon,,,Atomic Bomber | Supernova | Big Bang Fire
42,AncientWisemon,https://static.wikia.nocookie.net/digimon/images/8/87/AncientWisemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090804073334,Mega,Virus,Unknown,,,,,Laplace no Ma
43,Andromon,https://static.wikia.nocookie.net/digimon/images/6/67/Andromon_b.jpg/revision/latest/scale-to-width-down/268?cb=20091227052121,Ultimate,Vaccine,Metal Empire,Guardromon,HiAndromon,,,Spiral Sword | Gatling Missile | Gatling Missile Rensha Mode
44,Angemon,https://static.wikia.nocookie.net/digimon/images/0/08/Angemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130402190032,Champion,Vaccine,Wind Guardians,Patamon,MagnaAngemon | Ankylomon | Shakkoumon | Ankylomon | Armadillomon | Angewomon | NeoDevimon,Devimon,,Heaven's Knuckle | Holy Rod | God Typhoon | Halo Attack
45,Angewomon,https://static.wikia.nocookie.net/digimon/images/3/39/Angewomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130402190037,Ultimate,Vaccine / Free,Nature Spirits,Gatomon,Magnadramon | Ophanimon | Mastemon | LadyDevimon | Ophanimon Falldown Mode | LovelyAngemon,LadyDevimon,,Holy Arrow | Digimon World Data Squad | Saint Air | Holy Kick | Holy Attack | Holy Dash | Angel Wing | Holy Charge Kick | Holy Charm
46,Angewomon X,https://static.wikia.nocookie.net/digimon/images/f/f4/Angewomon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20191029025907,Ultimate,Vaccine,Unknown,Gatomon X,,,,Holy Arrow | Grand Holy Arrow
47,Angoramon,https://static.wikia.nocookie.net/digimon/images/3/33/Angoramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210921170200,Rookie,Vaccine,Nature Spirits,,SymbareAngoramon,,,Petit Tornado | Pyon Dump
48,Ankylomon,https://static.wikia.nocookie.net/digimon/images/6/6b/Ankylomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090205054741,Champion,Vaccine / Free,Nature Spirits,Armadillomon,Shakkoumon | Angemon | MagnaAngemon | Angemon | Brachiomon,,,Armor Stampede | Rhythmical Knock
49,Antylamon,https://static.wikia.nocookie.net/digimon/images/b/b7/Antylamon_%28Evil%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20201026182601,Ultimate,Virus,Nightmare Soldiers,Wendigomon,Cherubimon (Evil),,,Mantra Chant | Bǎo Fǔ
51,Anubismon,https://static.wikia.nocookie.net/digimon/images/9/9a/Anubismon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120106061210,Mega,Vaccine,Unknown,Cerberusmon,,,,Ammit
52,Apemon,https://static.wikia.nocookie.net/digimon/images/e/ec/Apemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20160506083907,Champion,Vaccine,Nightmare Soldiers,Gazimon,MadLeomon (Final Mode) | MadLeomon | Mammothmon,,,Nyoi Bone | Dohatsuten | Maen Moubakuken
53,Apocalymon,https://static.wikia.nocookie.net/digimon/images/b/b3/Apocalymon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140413173638,Mega,Free,Dark Area,DemiDevimon,Mephistomon,,,Ankoku | Death Evolution | Gran Death Big Bang | Shokushu Kougeki | Ultimate Stream
54,Apokarimon,https://static.wikia.nocookie.net/digimon/images/9/95/Apocalymon_%28New_Century%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20200701072828,Mega,Unknown,Dark Area,,,,,Unknown
55,Apollomon,https://static.wikia.nocookie.net/digimon/images/d/dc/Apollomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140708003455,Mega,Vaccine,Dragon's Roar,Flaremon,GraceNovamon | Dianamon,,Shoutmon X7F Superior Mode,Solblaster | PhoebusBlow | Arrow of Apollo
56,Apollomon Darkness Mode,https://static.wikia.nocookie.net/digimon/images/1/1e/Apollomon_Darkness_Mode_t.gif/revision/latest/scale-to-width-down/268?cb=20220701014528,Unknown,Unknown,Unknown,Apollomon Whispered,,,,Unknown
57,Apollomon Whispered,https://static.wikia.nocookie.net/digimon/images/b/ba/Apollomon_Whispered_t.gif/revision/latest/scale-to-width-down/268?cb=20220522102323,Unknown,Unknown,Unknown,,,,,Arrow of Whispered | Nageki no Taiyou
58,Aquilamon,https://static.wikia.nocookie.net/digimon/images/e/e1/Aquilamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090205054741,Champion,Data / Free,Wind Guardians,Hawkmon,Silphymon | Gatomon | Angewomon | Gatomon | Garudamon,,,Glide Horn | Blast Laser | Stealth Quarrel
59,Arbormon,https://static.wikia.nocookie.net/digimon/images/2/29/Arbormon_b.jpg/revision/latest/scale-to-width-down/268?cb=20121109024301,Hybrid,Variable,None,H Spirit of Wood,,,,Machine Gun Dance
60,Arcadiamon,https://static.wikia.nocookie.net/digimon/images/c/cd/Arcadiamon_%28Champion%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20140312052201,Champion,Virus,Dark Area,Arcadiamon (Rookie),Arcadiamon (Ultimate),,,Unknown
66,Archelomon,https://static.wikia.nocookie.net/digimon/images/0/05/Archelomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130215044943,Armor,Data / Free,Deep Savers,Wormmon,,,,Ocean Strom | Fin Cutter
67,Arcturusmon,https://static.wikia.nocookie.net/digimon/images/1/13/Arcturusmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20230329022022,Mega,Virus,Virus Busters,,,,,Black Confession
68,Argomon,https://static.wikia.nocookie.net/digimon/images/a/a9/Argomon_%28Champion%29_b.jpg/revision/latest/scale-to-width-down/268?cb=20200417042302,Champion,Virus,Nightmare Soldiers,Argomon (Rookie),Argomon (Ultimate),,,Imprisonment | Bolt Line
74,Ariemon,https://static.wikia.nocookie.net/digimon/images/7/7b/Ariemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20250626021327,Mega,Data,Unknown,,,,,Unknown
75,ArkhaiAngemon,https://static.wikia.nocookie.net/digimon/images/5/5f/ArkhaiAngemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20230901020653,Ultimate,Vaccine,Unknown,,,,,Unknown
76,Armadillomon,https://static.wikia.nocookie.net/digimon/images/7/76/Armadillomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130402185937,Rookie,Vaccine / Free,Nature Spirits,Upamon,Ankylomon | Chamelemon | Shakkoumon | Angemon | Digi-Egg Digivolution Chart,,,Rolling Stone | Scratch Beat | Rigid Block
77,Armageddemon,https://static.wikia.nocookie.net/digimon/images/7/7e/Armageddemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120203033156,Mega,Free,Dark Area,Kuramon,,,,Black Rain | Ultimate Flare
78,Armamon,https://static.wikia.nocookie.net/digimon/images/c/c0/Armamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20180109041527,Unknown,Unknown,Nightmare Soldiers,,OmegaArmamon Burst Mode | Barbamon,,,Unknown
79,Armormon,https://static.wikia.nocookie.net/digimon/images/8/84/Armormon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210625025103,Ultimate,Virus,Metal Empire,Monmon,,,,Justice Massacre
80,Arresterdramon,https://static.wikia.nocookie.net/digimon/images/3/3d/Arresterdramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20111111014826,Champion,Vaccine / Free,Nature Spirits,Gumdramon,Arresterdramon Superior Mode,,,Prism Gallet
81,Arresterdramon Superior Mode,https://static.wikia.nocookie.net/digimon/images/7/7f/Arresterdramon_Superior_Mode_b.jpg/revision/latest/scale-to-width-down/268?cb=20200529042716,Ultimate,Vaccine,Nature Spirits,Arresterdramon,,,,Prism Gallett
83,Arukenimon,https://static.wikia.nocookie.net/digimon/images/8/86/Arukenimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20091106042457,Ultimate,Virus,Nightmare Soldiers,Dokugumon,Parasimon,,,Unknown
84,Aruraumon,https://static.wikia.nocookie.net/digimon/images/0/07/Aruraumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20151002161915,Rookie,Data,Nature Spirits,,Weedmon,,,Gloom Dust
85,Astamon,https://static.wikia.nocookie.net/digimon/images/d/dc/Astamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090128052538,Ultimate,Virus,Dark Area,Psychemon,Belphemon Sleep Mode | Belphemon Rage Mode,,,Unknown
86,Asuramon,https://static.wikia.nocookie.net/digimon/images/1/1c/Asuramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20091016040718,Ultimate,Vaccine,Unknown,Musyamon,Zanbamon,,,Asura Shinken | Kidoairaku | Asura Ennetsuken | Asura Bakunenken
87,At,https://static.wikia.nocookie.net/digimon/images/5/53/Jesmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20160104170417,Unknown,Unknown,Unknown,,,,,Unknown
88,Atamadekachimon,https://static.wikia.nocookie.net/digimon/images/4/49/Atamadekachimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210510022021,Champion,Data,Dragon's Roar,Minidekachimon,,,,Atama Tsubushi | Tsudzumi Bakusai
89,AtlurBallistamon,https://static.wikia.nocookie.net/digimon/images/e/ec/AtlurBallistamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20171226175932,Ultimate,Vaccine,Metal Empire,Ballistamon,,,,Plasma Crack
90,Aurumon,https://static.wikia.nocookie.net/digimon/images/b/b2/Aurumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20120427024517,Armor,Virus / Free,Nature Spirits,Wormmon,,,,Midnight Clutch
91,AvengeKidmon,https://static.wikia.nocookie.net/digimon/images/a/a1/AvengeKidmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130809140620,Mega,Virus,Unknown,,,,,Unknown
92,AxeKnightmon,https://static.wikia.nocookie.net/digimon/images/0/01/AxeKnightmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20110128134200,Ultimate,Virus / Free,Nightmare Soldiers,SkullKnightmon,MegaDarkKnightmon,,,Digimon Masters | Choujigen Axe
97,AxeKnightmon X,https://static.wikia.nocookie.net/digimon/images/8/8b/AxeKnightmon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20201026180253,Mega,Virus,Unknown,,,,,Unknown
98,Axemon,https://static.wikia.nocookie.net/digimon/images/0/09/Axemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20110121141246,Champion,Virus,Nightmare Soldiers,,,,,Unknown
99,Azulongmon,https://static.wikia.nocookie.net/digimon/images/1/1b/Azulongmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20200711135638,Mega,Data,Wind Guardians,Triceramon,,,,Sourai[7] | Fūshikaden | Raijin-no-Mai
100,Baalmon,https://static.wikia.nocookie.net/digimon/images/1/19/Baalmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20101210043525,Ultimate,Virus / Free,Nightmare Soldiers,,Beelzemon (2010 anime),,,Kamiuchi
101,Baalmon X,https://static.wikia.nocookie.net/digimon/images/f/fa/Baalmon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20230915053922,Ultimate,Free,Unknown,,,,,Kamiuchi | (Tūri Blast)
102,Babamon,https://static.wikia.nocookie.net/digimon/images/3/39/Babamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20160624081447,Mega,Vaccine,Unknown,,,,,Unknown
103,Baboongamon,https://static.wikia.nocookie.net/digimon/images/a/af/Baboongamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20200608024036,Champion,Vaccine,Nature Spirits,,,,,Unknown
104,Babydmon,https://static.wikia.nocookie.net/digimon/images/f/f6/Babydmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090128045034,In-Training,Free,None,,,,,Hot Gas
105,Bacchusmon,https://static.wikia.nocookie.net/digimon/images/6/6a/Bacchusmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20240316140141,Mega,Virus,Unknown,,,,,Cook of the Hell | Party of the Heaven | Reverse of the Dead
107,Bagramon,https://static.wikia.nocookie.net/digimon/images/b/b3/Bagramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20110530004515,Mega,Virus / Free,Nightmare Soldiers,,DarknessBagramon | AxeKnightmon,,,Choujigen Storm
108,Baihumon,https://static.wikia.nocookie.net/digimon/images/d/d0/Baihumon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090821022420,Mega,Data,Metal Empire,LoaderLiomon,,,,Kongou | Tekkousou | Kyokurin'o
109,Bakemon,https://static.wikia.nocookie.net/digimon/images/f/fe/Bakemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170113141434,Champion,Virus,Nightmare Soldiers,DemiDevimon,Phantomon | Myotismon | Pumpkinmon,Soulmon,,Hell's Hand | Death Charm | Death Claw
110,Bakomon,https://static.wikia.nocookie.net/digimon/images/e/ef/Bakomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20160423105707,Rookie,Data,Unknown,,,,,Unknown
111,BalliBeastmon,https://static.wikia.nocookie.net/digimon/images/3/3e/BalliBeastmon_t.gif/revision/latest/scale-to-width-down/268?cb=20230105044340,Unknown,Unknown,Unknown,Ballistamon,,,,Cat Speaker
112,Ballistamon,https://static.wikia.nocookie.net/digimon/images/5/51/Ballistamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20100604055910,Champion,Vaccine,Metal Empire,,AtlurBallistamon,,Shoutmon X7F Superior Mode,Horn Breaker | Heavy Speaker | Ultimate Speaker
113,Ballistamon Mush Cottage,https://static.wikia.nocookie.net/digimon/images/f/f0/XW-03_16_1.jpg/revision/latest/scale-to-width-down/268?cb=20100904012327,Unknown,Unknown,Unknown,Ballistamon,,,,Unknown
114,Ballistamon Sextet Launcher,https://static.wikia.nocookie.net/digimon/images/2/26/XW-05_18_3.png/revision/latest?cb=20101024165106,Unknown,Unknown,Unknown,Ballistamon,,,,Arashi no Rokujūsō
115,Baluchimon,https://static.wikia.nocookie.net/digimon/images/4/4a/Baluchimon_b.jpg/revision/latest/scale-to-width-down/268?cb=20201027031732,Champion,Data,Virus Busters,,SkullBaluchimon,,,Unknown
116,BanchoGolemon,https://static.wikia.nocookie.net/digimon/images/1/12/BanchoGolemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20160323171505,Mega,Virus,Unknown,,,,,Tenbagaeshi | Kanshaku Dust | Yobori Claw Drill
117,BanchoLeomon,https://static.wikia.nocookie.net/digimon/images/7/71/BanchoLeomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20090130055847,Mega,Vaccine,Virus Busters,GrapLeomon,Chaosmon | Darkdramon | Chaosmon: Valdur Arm | Varodurumon | UltimateChaosmon | Darkdramon | Varodurumon | Kentaurosmon | BanchoLeomon Burst Mode,,,Shishiraouzan | Flash Bantyo Punch | Otokogi | Burn Bantyo Punch
118,BanchoLeomon Burst Mode,https://static.wikia.nocookie.net/digimon/images/4/45/5-46_BanchoLeomon_Burst_Mode.png/revision/latest/scale-to-width-down/268?cb=20140701041211,Burst,Vaccine,Unknown,,,,,Unknown
119,BanchoLillymon,https://static.wikia.nocookie.net/digimon/images/5/53/BanchoLillymon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210330052213,Mega,Data,Wind Guardians,Lillymon,,,,Unknown
120,BanchoMamemon,https://static.wikia.nocookie.net/digimon/images/5/57/BanchoMamemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170217121740,Mega,Data,Unknown,,,,,Gōruden Rasshu | Senbon Bakusai | Tokkou Kandan
121,BanchoStingmon,https://static.wikia.nocookie.net/digimon/images/1/14/BanchoStingmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170331030209,Mega,Data / Free,Nature Spirits,JewelBeemon,,,,Bakuraiten
122,BaoHuckmon,https://static.wikia.nocookie.net/digimon/images/0/0e/BaoHuckmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170303060254,Champion,Data,Metal Empire,Hackmon,SaviorHuckmon,,,Burn Flame | Dragrey Spiker
123,Barbamon,https://static.wikia.nocookie.net/digimon/images/a/aa/Barbamon_b.jpg/revision/latest/scale-to-width-down/268?cb=20110308182805,Mega,Virus,Dark Area,Bastemon,OmegaArmamon Burst Mode | Armamon,,,Jigoku no Kaen
124,Barbamon X,https://static.wikia.nocookie.net/digimon/images/1/14/Barbamon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20190626031057,Mega,Virus,Dark Area,,,,,Unknown
125,Baromon,https://static.wikia.nocookie.net/digimon/images/4/45/Baromon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140411015845,Armor,Virus / Free,Nightmare Soldiers,Patamon,,,,(Meteor Dance
126,Bastemon,https://static.wikia.nocookie.net/digimon/images/c/cb/Bastemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20150529193144,Ultimate,Virus,Nightmare Soldiers,Mikemon,Barbamon | Lilithmon,,Shoutmon X7F Superior Mode,Helter Skelter | Vampire Dance | Kyūketsu Amejisuto
127,Batterymon,https://static.wikia.nocookie.net/digimon/images/3/3c/Batterymon_vg.jpg/revision/latest?cb=20101214055035,Unknown,Unknown,Unknown,,,,,Unknown
128,Battle Armament Trailmon,https://static.wikia.nocookie.net/digimon/images/6/63/N-12_10_1.jpg/revision/latest/scale-to-width-down/268?cb=20081220055720,Champion,Data,Metal Empire,,,,,Kyuu Break Spark
129,Bearmon,https://static.wikia.nocookie.net/digimon/images/2/20/Bearmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20101105040044,Rookie,Vaccine,Nature Spirits,Tsunomon,Grizzlymon | LoaderLiomon | Gallantmon | Guilmon,,Shoutmon X7F Superior Mode,KogumaSeikendzuki
130,BeelStarmon,https://static.wikia.nocookie.net/digimon/images/f/f3/BeelStarmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20190930065241,Mega,Virus,Nightmare Soldiers,,,,,Unknown
131,BeelStarmon X,https://static.wikia.nocookie.net/digimon/images/e/e0/BeelStarmon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20190626190613,Mega,Virus,Unknown,,,,,Unknown
132,Beelzemon,https://static.wikia.nocookie.net/digimon/images/0/04/Beelzemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20100226052845,Mega,Virus,Nightmare Soldiers,SkullSatamon,,Beelzemon Blast Mode,,Unknown
135,Beelzemon Blast Mode,https://static.wikia.nocookie.net/digimon/images/8/80/Beelzemon_Blast_Mode_b.jpg/revision/latest/scale-to-width-down/268?cb=20120330222823,Mega,Virus,Nightmare Soldiers,,,,,Death Slinger | Chaos Flare | High Impact
136,Beelzemon X,https://static.wikia.nocookie.net/digimon/images/e/e4/Beelzemon_X_b.jpg/revision/latest/scale-to-width-down/268?cb=20190701135246,Mega,Virus,Nightmare Soldiers,,,,,Unknown
137,Beetlemon,https://static.wikia.nocookie.net/digimon/images/9/99/Beetlemon_b.jpg/revision/latest/scale-to-width-down/268?cb=20130531052435,Hybrid,Variable,None,H Spirit of Thunder,RhinoKabuterimon | MetalKabuterimon,,,ThorHammer | MjöllnirThunder | Lightning Bomber | Kūchūfuyū
