id,name,image,level,attribute,family,prior_forms,next_forms,lateral_next_forms,digifuse_forms,attacks,included,description
82,Clockmon,/digimons_images/Clockmon.jpg,Champion,Data,Metal Empire,Solarmon,Unknown,Unknown,Shoutmon X7F Superior Mode,Unknown,True,"Time-manipulating Digimon with clock gear, serious and precise."
83,Coelamon,/digimons_images/Coelamon.jpg,Champion,Data,Deep Savers,Crabmon,Unknown,Unknown,Unknown,Variable Darts | Kamitsuki | Water Bullet,True,"Ancient fish Digimon, tough survivor of the digital seas."
84,Coredramon (Blue),/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Dragon Digimon with blue scales, powerful and courageous."
85,Coredramon (Green),/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Green-scaled dragon Digimon, fierce and instinct-driven."
86,Coronamon,/digimons_images/Coronamon.jpg,Rookie,Vaccine,Dragon's Roar,Sunmon,Firamon,Unknown,Unknown,Corona-knuckle,True,"Lion-like Digimon born from solar flames, courageous and spirited."
87,Craniummon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
88,Crescemon,/digimons_images/Crescemon.jpg,Ultimate,Data,Deep Savers,Lekismon,Dianamon,Unknown,Unknown,Unknown,True,"Moon warrior Digimon with elegant blades, calm and strategic."
89,Crossmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
90,Cyberdramon,/digimons_images/Cyberdramon.jpg,Ultimate,Vaccine,Wind Guardians,Strikedramon,Justimon (Blitz Arm),Unknown,Unknown,Erase Claw,True,"Ferocious cyborg dragon, untamed and always seeking battle."
91,Cyclomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
92,Dagomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
93,Dark Super Starmon,/digimons_images/placeholder.jpg,Ultimate,Virus,Metal Empire,Unknown,Unknown,Unknown,Unknown,Unknown,True,
94,Darkdramon,/digimons_images/Darkdramon.jpg,Mega,Virus,Dark Area,Tankdramon,Chaosmon | BanchoLeomon | UltimateChaosmon | BanchoLeomon | Varodurumon | Kentaurosmon,Unknown,Shoutmon X7F Superior Mode,Gigastick Lance,True,"A heavily armed black dragon Digimon, created as a weapon of destruction but seeking its own path."
95,Death Meramon,/digimons_images/Death_Meramon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,True,
96,Deltamon,/digimons_images/Deltamon.jpg,Champion,Virus,Unknown,Gazimon,Kimeramon,Unknown,Unknown,Triple Force | Skull Fang,True,
97,Delumon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
98,Demon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
99,Devimon,/digimons_images/Devimon.jpg,Champion,Virus,Nightmare Soldiers,DemiDevimon,NeoDevimon | Myotismon | SkullSatamon | Ogremon | Kimeramon | Kabuterimon | BlueMeramon,IceDevimon,Unknown,Death Claw | Leather Wing | Hell Contract,True,"Dark Digimon with bat wings, manipulative and feared in the digital world."
100,Diablomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
101,Dianamon,/digimons_images/Dianamon.jpg,Mega,Data,Deep Savers,Crescemon,GraceNovamon | Apollomon,Unknown,Unknown,Unknown,True,
102,Digitamamon,/digimons_images/Digitamamon.jpg,Ultimate,Data,Unknown,Ogremon,Devitamamon | Minervamon | Titamon,Unknown,Unknown,Enigma | Swing Egg,True,
103,Digmon,/digimons_images/Digmon.jpg,Armor,Vaccine / Free,Nature Spirits,Armadillomon,Unknown,Unknown,Unknown,Big Crack | Titan Drill,True,
104,Dinobeemon,/digimons_images/Dinobeemon.jpg,Ultimate,Virus / Free,Nature Spirits,Tanemon,GranKuwagamon | Imperialdramon Dragon Mode | TigerVespamon,Unknown,Unknown,Unknown,True,
105,Dinohumon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"A dinosaur warrior Digimon wielding swords, blending prehistoric might with martial skill."
106,Dobermon,/digimons_images/Dobermon.jpg,Champion,Vaccine,Nightmare Soldiers,Labramon,Cerberusmon,Unknown,Unknown,Unknown,True,"A loyal canine Digimon with sharp instincts, often serving as a tracker or guardian."
107,Dodomon,/digimons_images/Dodomon.jpg,Fresh,Free,Unknown,Unknown,Dorimon | Wanyamon,Unknown,Unknown,Chīsana Tetsu Tsubu,True,
108,Dokugumon,/digimons_images/Dokugumon.jpg,Champion,Virus,Unknown,KoDokugumon (In-Training),Arukenimon,Unknown,Unknown,Stinger Poration | ArachnoBatoto,True,A spider Digimon with venomous fangs and webs used to ensnare prey.
109,Dorimon,/digimons_images/Dorimon.jpg,In-Training,Free,Nature Spirits,Dodomon,Dorumon,Unknown,Unknown,San no Awa,True,"Tiny dragon baby Digimon, playful and always nibbling on things."
110,Dorugamon,/digimons_images/Dorugamon.jpg,Champion,Data,Nature Spirits,Dorumon,DoruGreymon,Unknown,Unknown,Power Metal,True,"A dragon Digimon with metallic features, fierce and wild, soaring with strong wings."
111,Dorugoramon,/digimons_images/Dorugoramon.jpg,Mega,Data,Nature Spirits,DoruGreymon,Unknown,DexDorugoramon,Unknown,Brave Metal | DORU Din,True,A giant beast dragon Digimon with destructive claws and overwhelming presence.
112,Doruguremon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
113,Dorumon,/digimons_images/Dorumon.jpg,Rookie,Data,Nature Spirits,Dorimon,Dorugamon | DexDorugamon | Reptiledramon,Unknown,Unknown,Unknown,True,"Beast Digimon with sharp instincts, descendant of ancient digital dragons."
114,Dracomon,/digimons_images/Dracomon.jpg,Rookie,Data,Dragon's Roar,Unknown,Coredramon (Blue) | Coredramon (Green),Unknown,Shoutmon X7F Superior Mode,Tail Smash | G Shurunen,True,"A small dragon Digimon with scales of legend, carrying great potential."
115,Dracumon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
116,Drimogemon,/digimons_images/Drimogemon.jpg,Champion,Data,Nature Spirits,Unknown,Digmon | Giromon | Mush-Upped MachLeomon | MachLeomon | Forest Zone | Code Crown | Abyss Truffle,Unknown,Unknown,Crusher Bone,True,"A mole Digimon with a drill nose, endlessly digging through the Digital World."
117,Duftmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"A strategic knight Digimon, wise and analytical, excelling in command."
118,Duftmon  Leopard Mode,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
119,Dukemon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"A chivalrous knight Digimon clad in holy armor, symbol of justice."
120,Dukemon  Crimson Mode,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
121,Duramon,/digimons_images/Duramon.jpg,Ultimate,Vaccine,Metal Empire,ZubaEagermon,Durandamon,Unknown,Unknown,Brinded | Grass-Slash,True,"A blade-armored Digimon, swift and merciless in combat."
122,Durandamon,/digimons_images/Durandamon.jpg,Mega,Vaccine,Metal Empire,Duramon,RagnaLoardmon | BryweLudramon,Unknown,Unknown,Zwanglänze,True,"A sword Digimon, embodying sharpness and precision in every strike."
123,Dynasmon,/digimons_images/Dynasmon.jpg,Mega,Data,Virus Busters,Silphymon,Unknown,Unknown,Unknown,Dragon's Roar | Digimon Frontier,True,"A member of the Royal Knights, a dragon warrior of immense might."
124,Ebemon,/digimons_images/Ebemon.jpg,Mega,Virus,Unknown,Vademon,Unknown,Unknown,Unknown,Brain Rupture | Planet Destroyer,True,"A brain-shaped Digimon with mechanical arms, master of science and experiments."
125,Elecmon,/digimons_images/Elecmon.jpg,Rookie,Data,Nature Spirits,Tsunomon,BlackGarurumon | Leomon | DarkTyrannomon,Elecmon (Violet),Unknown,Sparkling Thunder | Tai Atari | Thunder Knife,True,"Electric fox Digimon, playful and protective of weaker Digimon."
126,Enbarrmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
127,Enbarrmon Craniummon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
128,Etemon,/digimons_images/Etemon.jpg,Ultimate,Virus,Unknown,Sukamon,Etemon (Chaos) | Dark Network | MetalEtemon | KingEtemon,Unknown,Unknown,Love Serenade | Dark Spirits | Monkick,True,"Monkey Digimon wearing a jumpsuit, loud entertainer with surprising strength."
129,Examon,/digimons_images/Examon.jpg,Mega,Data,Dragon's Roar,Slayerdramon,Unknown,Unknown,Shoutmon X7F Superior Mode,Unknown,True,
